,Text
101,@ayamupen 私はTTをみんなやればSafeEntryをやらないでいいので、さっさと義務化して欲しい派です
102,@he_koh @mrbrown Great idea. I’m baffled that TT penetration is so low when Smartphone penetration in Singapore is so high. Are people still using SafeEntry on SingPass??
103,It is a tradition of mine since 10 years ago to take a pic with the Taka Christmas 🎄 becos they make the best 🎄 every year. This year there wasn’t any tree but instead replaced with marking stickers and safe entry gantry. A little disappointed but I shall forward to the next. https://t.co/eu5PVxWfwk
104,About 6 officers manning the only #SafeEntry desk into the wet market. https://t.co/N1vUHZcjD2
105,Hot damn I've been taking Singapore's SafeEntry QR Codes for granted https://t.co/4oP8oKK5T7
106,TraceTogether がほぼ100%になれば、正直SafeEntryなんて必要無いと思う。早くなくなってくれ。 https://t.co/erVKvJxKee
107,"So do squirrels, birds and other tree dwellers have to Safe Entry themselves in for every tree they visit? 😂 @ Membina Court https://t.co/4MBZ5a3iWt"
108,"""New SafeEntry Gateway device to make #TraceTogether check-ins more convenient""

https://t.co/Y5rCRq4B30"
109,"SafeEntry Gateway is designed and built in-house by the Smart Nation and Digital Government Group.

It's currently on trial at Downtown East until the end of the year, so if you happen to be there, do give it a go! https://t.co/qpmmDfGfLr"
110,"This device, called the SafeEntry Gateway, aims to make TraceTogether check-ins as quick and easy as using an EZ-Link card. 

That means no more waiting in line to scan a QR code or your IC when you're entering a shopping mall or supermarket (especially during peak hours)! https://t.co/kn0F5hZgVm"
111,And I hope the #SafeEntry Admins are counting visitors to VivoCity and Harbour Front Center as a single mall
112,"#VivoCity Tip: If the #SafeEntry Queue gets too long, enter by HarbourFront Centre ... And walk over to Vivo https://t.co/gmgQCawluy"
113,thinking of the day we’ll be mask free and dont need to scan safeentry 😖
114,"Somehow miraculously made it into @p__yao’s top ten list in @artforum. Thanks, Pauline! Thanks, @itsgracehong for sending me these pictures! #HemanChong #SafeEntry #Singapore @ Singapore Art Museum https://t.co/58mT0KmjPC"
115,@Kongduino Ah that's equivalent to Singapore's SafeEntry ... Which will soon be obsoleted by TraceTogether. Contact tracing will get really messy for our travellers 🤔
116,"Omg just went to eat in Tekka Market, took one look and turned back round. Zero entry scanning, zero numbers control and absolute zero safe distancing. By my reckoning at least twice the number in there than should be. At this rate we can forget phase 3. #CNA  #Straitstimes"
117,"Thursday story. Convo about mosque safe entry which need to use NRIC when suddenly a boy say, I have IC *with confident*. So we ask his age which he reply 10. And he took out his card. ministry of education card! 😂"
118,"Google Maps is chillingly accurate in predicting the places I've been to, even for shops/eateries inside malls. Beginning to suspect it might be reading SafeEntry check-ins 🤔"
119,"@Ebiten_Umaine ブラスバサー駅付近のとこにあるヤツです！すいません、誰かのアート作品で""Safe Entry""というタイトルだったもので…🙇‍♂️"
120,デカめのSafe Entry。 https://t.co/EhdhWn5qk5
121,"Safe entry checking in a shopping mall, only to check in again within the same mall but a different wing and to check in the individual stores within that wing of the mall so you need to check out of the store, check out of that part of the mall and check out of the mall. https://t.co/1yOgNJ1fGl"
122,"剛才點這個燒雞販，胖妹竟然忘記了，我等了好久，搞到我來 #義順綜合診療所 #YishunPolyclinic 看醫生遲到了，胖妹一直就是忽略我，對我不敬，我忍不住就抓住她拳打腳踢，哼，狠狠的教訓一頓😠

我講話很好笑嗎，為什麼診療所下面safe entry的小妹妹笑個不停，又是對我不敬，人人都欺負我😭 https://t.co/TVPlhlsmfy"
123,"@youdanjiri 30分も話を聞いて何が不満かわからないってそれ日本人ですか？笑
Safe entryの浸透した今頃何をそんなに揉める必要が…しかも連日
まあ…おかしい人はいますよね…"
124,Didn’t realise that my SafeEntry checkins can get stacked if I don’t explicitly checkout from my previous locations 🤦‍♂️
125,I’m that bij who fumbles at every safe entry checkpoint..I just like to apologise in adv if u are behind me 🌚
126,"來 #邱德拔醫院 #KhooTeckPuatHospital 吃早餐，雜菜飯檔的頭手來自 #吉打 #Kedah 的哥哥，和我抱怨了十幾分鐘自三月份就每個月虧本，他沒有花紅分。

在門口的台灣婆就抱怨叫排我前面的護士做safe entry她就不高興。

我就青山相待，白雲相愛，夢不到紫羅袍共黃金帶，沒有東西抱怨😊 https://t.co/v4Pl9WX63g"
127,"First SafeEntry, TraceTogether sold as voluntary. Now, supposedly 🇸🇬’Smart Nation’ supplements mandatory check-in data w/widespread, compulsory proximity data, to improves its #ContactTracing process. Wait until vaccine ready, it’ll surely be forced too. https://t.co/2UbyLjndok https://t.co/pQRtptUzim"
128,@karimnas_ @ainunnajib Disini juga udah “normal” cuma tetep harus pake masker sama safe entry aja.
129,Treating SafeEntry like a nouveau Foursquare lmfao
130,I just ❤️ how both SingPass Mobile and TraceTogether have iOS 14 widgets for quicker SafeEntry. The  Android versions don’t even have those yet https://t.co/J6c9fb7PSY
131,How is everyone doing today? My day was great nothing much just accidentally flashed porn to the safe entry dude instead of the safe entry page 🤡🤡🤡
132,"Get out and get moving today! Let’s stay vigilant and look out for each other with the safe management measures implemented 😄👌🏼

✔️ Practise safe distancing 
✔️ Use contact tracing via SafeEntry 
✔️ Undergo temperature screening 
✔️ Wear face mask when resting https://t.co/gqwuheMgwn"
133,I’m feeling for a kopi c peng siew dai now. Going through safe entry and humans is too much trouble and paying service fee and small fee is like sian half. Imma just stick to nespresso la #singaporetogether
134,"one of nice beaches in Johor for your picnic, short getaway and beach therapy 🌊🌴☀️

Desaru Beach (public beach)
Bandar Penawar 81930 Kota Tinggi, Johor

• opening hours during RMCO
~ 11am-6pm (weekdays)
~ 9am-6pm (weekend/PH) 

• RM6.00 per entry
• safe dedicated car park https://t.co/K6jY6Ein4y"
135,まあなんしか面倒な世の中になったものだ。今までパスポートさえ持ってりゃ出発2時間前にパッとチケット買って身一つで空港に向かえばビュンと飛べたんだから。コンタクトレスなコミュニケーションも増えて便利になりマスクもSafeEntryもソーシャルディスタンスも慣れたけど特別なことをする時には面倒
136,"If you live in Singapore during this #Covid_19 , your phone browser will be full of this QR code safe entry 😂 https://t.co/bSzt9jcYom"
137,I’ll be putting my triple back tap for safe entry hahah so I don’t panic everytime need scan 😂😩.
138,"Singapore friends, if you are using SingPass to scan SafeEntry QR codes (like I do) there’s a quicker way to do it. Thanks to iOS 14. 😊 https://t.co/3UaqCAkkAM"
139,"おっ
iPhoneユーザーいいなー

ちょんちょん（２回タップ）でSafeEntryのスキャンできるらしー https://t.co/o3LyBVxBXP"
140,@mrbrown Thanks! Added Scan SafeEntry to Back Tap.  I still leave the SafeEntry Check-in and Check-out in Shortcuts widget for now. #iOS14
141,Why there is SafeEntry but no SafeExit? 😔
142,Would you rather the government or your parents to spy on ur SafeEntry data?
143,"Dolby digital: All around you 

Safe entry : lol"
144,"There is always a transmission chain in a pandemic. The no. of people infected is directly related to how quickly we can identify and isolate new cases.

Digital tools like #TraceTogether &amp; SafeEntry help speed up contact tracing substantially, and disrupt the transmission chain."
145,"It’s already mandatory to check in to SafeEntry to enter any venue. We can already do it with the app, or scanning our ID card. But people have privacy concerns with scanning the ID card. And it’s difficult for senior citizens to use the app. Hence the FREE token."
146,これからだんだんSafe EntryがTrace Together経由に集約されていくということらしい。スマホを持っていない人にはトークンが配られると。 https://t.co/kupVCy0kDr
147,who would have thought that “safe entry” will be one of most used words in Singapore this year...
148,"There is a SafeEntry feature inside the Razer Pay app now. Basically just a QR code scanner, but it made me open the app more than I normally would've https://t.co/T9sLrscAnN"
149,Swarm is just social SafeEntry (@ Carl's Jr. in Singapore) https://t.co/rxF1PE3YKn
150,"@ericrazali Zucc enters a restaurant with his wife. 

Waiter: Hello Miss, can you do safe entry check in first? And for the YOU sir, please complete this “I am not a robot test”"
151,hungry ghosts gotta scan safe entry b4 entering my house
152,It’s like safe entry but imagine if it starts asking you questions https://t.co/0Isghuf34D
153,"sing passでsafe entryをすると、まれに同じ会社の正しくないQRが出てきてめんどくさい。
今あったのはsingpostなんちゃらが二つ表示されていたようで、確認の際にそれじゃないと言われた。
そういう場所ではわかりやすいとこほに名前を書いといてほしいかな…"
154,"Whoever implied the captcha for #safeentry is waiting for the IT guys to find you and make you do captcha till you vomit! 

#bodohpehkambing"
155,イヤホンしててこれまで気が付かなかったけどバスの中でも音声アナウンス流れるようになったんか。マスク着用とSafe Entryのリマインド
156,"@AaronAtayde Wala pa ding safe entry scan bar code na iniimplement sa mga establishment dyan? Its one way of effective contract tracing, its like no id, no entry. Groceries should have window hours for more vulnerable individuals like senior citizens.. kulang talaga sa planning bago implement"
157,Safe entry QR code scanner shortcut on Trace Together https://t.co/YoUg5qUY9E
158,Too many uncleared safe entry tabs in Safari on my phone. #NewNormal
159,Tekka market has one of the stupidest safe entry concept
160,"THIS SO ME, THE AUDI WAS MY 2ND HOME before it became a safeentry/temp taking station🤧 https://t.co/H9nAnKle44"
161,湯の森もか…コロナ感染者の訪れた場所、日に日に知っている所が出てきてホンマに身近に、すぐそこにリスクはあるんやなと思う。外出時のマスク、行く先々でSafe Entryに検温、洗面所があれば常に手洗い、それが当たり前になったらなったで危機感という感覚が既に麻痺しかけ。正しく恐れるのも忘れてる
162,"Hey @StarHubCares, what’s with the spotty 4G connection lately? Was trying to scan into SafeEntry at several places over the weekend and my phone just drops the data connection and nothing loads. Not the first time this happened"
163,"Things are already pretty normal here, apart from the mask and checking-in with SafeEntry. And the numbers doesn’t really spike either. Perks of being a well-educated nation. https://t.co/iaz1n9fZN2"
164,overheard at dinner in town - “bruh I have more SafeEntry tabs open than porn on my phone sia”
165,Resumption of masses #resumptionofmasses #catholic #catholicchurch #mass #holyeucharist #holycommunion #blessings #prayer #givethanks #holyspirit #covid19 #coronavirus #phase2 #socialdistancing #safeentry… https://t.co/4HNWQebMcQ
166,"Resumption of masses #massresumption #catholicchurch #catholic #covid19 #coronavirus #phase2 #socialdistancing #safeentry #holyeucharist #holycommunion #amen #prayer #blessings @ Church of St Bernadette, Singapore https://t.co/bpX49gltx2"
167,Don’t think I’ve ever checked out from the safe entry thing before
168,Safe entry check in deposit cash (@ UOB Autolobby in Singapore) https://t.co/3FwglFjApv
169,Instead of walking towards the entrance for safe entry i walk towards the exit 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️ main hp sngt kan smpai tk perasan jalan kemana 🙃🙃
170,"Safe entry check in (@ Jason Tan's Residence in Singapore, ) https://t.co/ukHAqLRpPj"
171,When you asks customer to scan the safeEntry and they said the phone camera is inactivate and not everyone have the phone camera. BRUHHHH! It’s literally 2020 🤷🏻‍♀️
172,"Safe entry check-in 
/
/
Our restaurant is open now for dine-in but we are happy to pack for takeaway. 
We are still committed to ensuring the well being of our customers and co-workers. Strict preventive measures… https://t.co/3VBh7qKwPq"
173,"In #Singapore #taxi cabs, mandatory check-ins to the government’s #SafeEntry contact tracing system. #covidlife #coronavirus #sglife #taxicab #covid_19 #covid19 https://t.co/fNOgAVlBKI"
174,"What if we,,, took our temperature... at the checkpoint 🤔🤔👀👀 before  we entered the mall 😳😳... what if we,,, kissed by the,, safe entry qr code,,, 👀 👀 and forgot to,, check out,, together 😚😚"
175,SafeEntry Tips and Tricks - How to Create Shortcuts and Use the SingPass App Like a Pro in Singapore  https://t.co/sJpg4FOGNq  #singapore #news #sgnews #safeentry #guide #tips #safedistancing #socialdistancing
176,All visitors will need to pass through #Therma and get #OneScan to register their information and check-in with #SafeEntry in a seamless step. @ Pseudoscops https://t.co/2h66sFkLIj
177,Tangina may mga hindi nagse-safe entry dyan kingina niyo para sa safety nating lahat yun dito sa SG. May 7% nanaman na hindi ma-trace ampota
178,I am SICK AND TIRED of scanning safe entry qr codes
179,"Shopping is no longer a walk in the park...
Even my phone couldn't handle the number of SafeEntry ins and outs! 
(I was not even window shopping or browsing)
#safeentry #sgunited @ Singapore https://t.co/gKdAY4EmO3"
180,"The new thing — the instantaneous electronic temperature check station with the QR code to scan into the #Singapore government’s #SafeEntry site so you can log exactly when you enter &amp; leave a restaurant, store, mall, etc. This was at Long Ji, one of my fave seafood restaurants. https://t.co/9hdHLy0yrF"
181,化粧品買いに来たがSafeEntry&amp;このベルトみたいの開けてもらわないと店舗に入れなかったりしてふらっと寄れない覗けない！こりゃ客足落ちるわな。。 https://t.co/a8oCFq3vtS
182,@v4jr4 Lebih mirip safeentry system sih.
