feature_name,idf_weights
paynearby,8.313553665
pipeline,8.313553665
planing,8.313553665
placing,8.313553665
placement,8.313553665
placed,8.313553665
placebo,8.313553665
pitch,8.313553665
pisonia,8.313553665
pisa,8.313553665
pious,8.313553665
peacekeeping,8.313553665
pink,8.313553665
pingpong,8.313553665
pillsyringe,8.313553665
pill,8.313553665
piling,8.313553665
pilgrimage,8.313553665
picker,8.313553665
physician,8.313553665
planner,8.313553665
planting,8.313553665
platelet,8.313553665
platinum,8.313553665
plzwearmask,8.313553665
plussputnik,8.313553665
plussinopharm,8.313553665
plusphizer,8.313553665
plusmoderna,8.313553665
plusastra,8.313553665
plunged,8.313553665
plum,8.313553665
plot,8.313553665
plese,8.313553665
pledging,8.313553665
pledged,8.313553665
pleasegetvaccinated,8.313553665
plaza,8.313553665
playwright,8.313553665
playing,8.313553665
played,8.313553665
phuketsandbox,8.313553665
photooftheday,8.313553665
photography,8.313553665
peril,8.313553665
pericardiatitis,8.313553665
peri,8.313553665
performance,8.313553665
peple,8.313553665
pep,8.313553665
penny,8.313553665
penis,8.313553665
penalized,8.313553665
penal,8.313553665
pen,8.313553665
pelham,8.313553665
pela,8.313553665
pegasystem,8.313553665
peer,8.313553665
peel,8.313553665
pedal,8.313553665
pebdamic,8.313553665
perikatannasionalvac,8.313553665
perishes,8.313553665
photographer,8.313553665
perk,8.313553665
photograph,8.313553665
phelan,8.313553665
pharmacist,8.313553665
phalanx,8.313553665
pfizervacine,8.313553665
petroleum,8.313553665
petrified,8.313553665
peta,8.313553665
peshawer,8.313553665
perungudi,8.313553665
peru,8.313553665
persian,8.313553665
perpaduan,8.313553665
pernah,8.313553665
permitted,8.313553665
permit,8.313553665
permanent,8.313553665
orthodontist,8.313553665
original,8.313553665
orgasmic,8.313553665
neighboring,8.313553665
netherlands,8.313553665
netflix,8.313553665
neptunedeclaration,8.313553665
neptune,8.313553665
nephrology,8.313553665
nepalese,8.313553665
nem,8.313553665
nellithope,8.313553665
neha,8.313553665
niska,8.313553665
negri,8.313553665
negotiating,8.313553665
negerisembilanbersihmuafakatsejahtera,8.313553665
negai,8.313553665
needing,8.313553665
neediest,8.313553665
needful,8.313553665
needa,8.313553665
netizens,8.313553665
neutralizing,8.313553665
newborn,8.313553665
newdelhi,8.313553665
nirmalasitharaman,8.313553665
nirmala,8.313553665
nimbus,8.313553665
nikita,8.313553665
nightwing,8.313553665
niece,8.313553665
nie,8.313553665
nicely,8.313553665
nic,8.313553665
nga,8.313553665
nftcommunity,8.313553665
newzealand,8.313553665
newworldorder,8.313553665
newspatro,8.313553665
newsletter,8.313553665
newsagent,8.313553665
newquay,8.313553665
nectar,8.313553665
neck,8.313553665
necessity,8.313553665
narendramodipmindia,8.313553665
narbheram,8.313553665
nara,8.313553665
nani,8.313553665
nandini,8.313553665
,8.313553665
namely,8.313553665
namaste,8.313553665
nakani,8.313553665
najafgarh,8.313553665
naive,8.313553665
nail,8.313553665
nai,8.313553665
nagpurkar,8.313553665
nagpurians,8.313553665
nagara,8.313553665
nagano,8.313553665
nagaland,8.313553665
narendermodi,8.313553665
narikuravar,8.313553665
neccesary,8.313553665
narrative,8.313553665
ndtvcoronavirustracker,8.313553665
ncle,8.313553665
nazarisah,8.313553665
nawamintrathirat,8.313553665
navid,8.313553665
naval,8.313553665
naughty,8.313553665
naturally,8.313553665
native,8.313553665
nationwithnamo,8.313553665
nationwide,8.313553665
nationwantstoknow,8.313553665
nationally,8.313553665
nationalhealthmission,8.313553665
nasty,8.313553665
nasreen,8.313553665
nashville,8.313553665
nishi,8.313553665
nithyananda,8.313553665
organize,8.313553665
ocean,8.313553665
olympic,8.313553665
olympia,8.313553665
olivia,8.313553665
oldie,8.313553665
oldest,8.313553665
offi,8.313553665
odishalockdown,8.313553665
odishacares,8.313553665
occurring,8.313553665
nittambuwa,8.313553665
obtains,8.313553665
obtained,8.313553665
obsessed,8.313553665
observing,8.313553665
observes,8.313553665
obligated,8.313553665
objective,8.313553665
objection,8.313553665
olympicgames,8.313553665
omnamahashivaya,8.313553665
oncologist,8.313553665
oncology,8.313553665
orange,8.313553665
oral,8.313553665
opts,8.313553665
optimistic,8.313553665
optimal,8.313553665
opruttemetjeprik,8.313553665
opposed,8.313553665
opponent,8.313553665
opp,8.313553665
operated,8.313553665
opened,8.313553665
op,8.313553665
oops,8.313553665
onthisday,8.313553665
onthe,8.313553665
onlineconsultation,8.313553665
oneindia,8.313553665
oba,8.313553665
nutritionforlungs,8.313553665
nutritional,8.313553665
normally,8.313553665
norma,8.313553665
norbit,8.313553665
nooooooo,8.313553665
