,Text
55,"Hello SG Treasure Makers!!! For those who are heading to @O314DAY event today and didn't manage to take our Dobby cupsleeve, we are here sitting near the entrance😚 Do ensure safe distancing when coming to us. Thank you!!

#O314DAY
#sunshinehoonday https://t.co/kaOZsfU1Ue"
56,Only Geylang Serai doesn’t have safe distancing measures. #manaadacovid #kampungspirit 🤦🏻‍♀️
57,"初二- Rmb to mask ""ON"" &amp; ensure safe distancing while visiting the households(limit to max. 2 per day)
#初二 #新年快乐 #恭喜发财 #新年快樂 #恭喜發財 #國泰平安 @ Kallang Bahru, Singapore https://t.co/Fa0f4DPpIi"
58,Circa Feb 2019. A congregation of families celebrating a birthday over dinner. Masks and safe-distancing measures were uncommon. @ Woodlands Waterfront Park https://t.co/TMdt7Lnu0G
59,"@DrTedros Hi mr. Tedros and the rest of who, id like to ask a question as most of the world night clubs and karaoke lounges business are being affected by covid 19, is there a possibility for the world to re open pubs and karaoke places with safe distancing"
60,"just walked into a kopitiam here in holland-bukit timah and then everywan lak kopi bo ren shi me but knowing i was S'porean, erupted in spontaneous applaus. 

Safe distancing officer thank me for voting PAP 

😷😷😷😷😷😷😷😷😷😷😷😷😷 https://t.co/PJ6LDQMen0"
61,"Not out of the woods yet, people! Please wear your masks and practise safe distancing! https://t.co/T3jJlM15wB"
62,"Safe distancing officer
Safe entry officer"
63,"Who knew Singapore spent so much money on safe-distancing stuff! 

https://t.co/FVkjIriHG5 https://t.co/GHJUAdLc4T"
64,Singapore press conference seating is further . We got bring measuring tape. And is more cognisant of safe distancing. https://t.co/32EI1MHgGH
65,@AngelusArch @superherodaa @SnapeVoldemort @sekartweets Read the safe distancing measures put in place for pubs. The argument here is with 100% occupancy there WILL NOT be any such measures in cinemas. And do you know wearing mask is NOT compulsory in India like in Singapore?! https://t.co/8HRhuPIoIP
66,"@zt000tz @adek_farid Ada je la chetom...
Ok2 stay safe tau...
Ingat social.distancing ngan ahboi tau..😂"
67,Not sure safe distancing works in a vehicle with recycled air? ☹️ https://t.co/8VFr2Czuy8
68,"This virus changed the world. We have to lead our lives differently.
The mask may hide our smile, but we learn to smile through our eyes.
Safe distancing keep us apart, but we find ways to be closer in heart and mind. https://t.co/x3FVsJ4L7D"
69,The principle behind safe distancing and whatever things is not about the fines that have to be paid if not following but about our own health and safety
70,"I am sorry to all the ships at ARC but I love how peaceful, quiet and SAFE this place really is! Muahahaha! 

Social distancing ACHIEVED! @ ARC - Alexandra Retail Centre https://t.co/I7L6m4oaHb"
71,"@Cleavon_MD Live in Singapore. Very safe. National plan and people protect one another. Mandatory masks, social distancing, technology based contact tracing and quarantine. Restaurants, malls, shops, schools open. 2 cases in about a month. Will take the vaccine when available."
72,"Yo!!! Comedy shows are BACK!
 (With safe distancing rules and limited capacity😛)

Get it here! 
https://t.co/RRLj8yH1dK https://t.co/szxWWMdkIj"
73,Singaporeans with no where to go. Orchard Rd is a hive of activity. Branded stores are ringing them in. This is the queue at Luke’s Lobster where ONE lobster roll will set you back $30+++. Safe distancing ambassadors (in red) are at a lost. https://t.co/mAEOrvjR6X
74,"(4) @MilkenInstitute Asia Summit: Speakers &amp; attendees are then ushered to their designated tables &amp; seats, once again divided into the 4 zones. Masks are mandated at all times unless eating or drinking. Safe distancing ambassadors are also stationed around the venue. #Singapore https://t.co/mJycGApBaN"
75,"This festive season stay safe and in your safety bubble. Enjoy the festivity but do keep the mask on when in public and observe safe distancing, sanitise, etc... #BeSafeNotSorry @ Singapore https://t.co/l6gOpNyL24"
76,"Preparations underway for the in-person segment of this year’s @MilkenInstitute Asia Summit. 200-person capacity, and will strictly follow safe distancing + other guidelines set by the Singapore government. More updates to follow over the next day. https://t.co/RgccpNqOSU"
77,"@PBBabscbn @ABSCBN Wala kayong safe distancing measures? No face shields or mask? Kahit may spacing, hinde ba dapat may face mask din kayong mga hosts?"
78,"As a Safe Distancing Ambassador, we advocate the importance of safe distancing and good hygiene habits for the safety and health of the members of the public.

@NEAsg 
Public Hygiene Council
@CGSingapore 

#safedistancingambassador #SGClean https://t.co/BHh7Dqv0Dj"
79,"@TheRealHoarse Morning here. Heading out to do some grocery shopping and dim sum lunch. Feel safe in Singapore. Masks, social distancing, contact tracing, good citizenship. Business are open and people are complying. No magical thinking."
80,"With @han_zhe , we are #ChemAt2m filming footages on our teaching materials for 2021, with safe distancing and masks 😷 This garden 🪴 has lots of natural greens, even when I ain’t wearing my military greens. #RealTimeChem https://t.co/iFBrsQS74r"
81,"@JYHeffect Thank goodness. Practice safe distancing, and no sharing of food and utensils for now. Stay safe and healthy always."
82,@k1h Safe distancing 違反ですからねぇ… 陽性が出てバレちゃった😅　再来週ローカル友のROMなんですが、4テーブルで混ざるの禁止と先に言われています。流石に気の毒だと思います…
83,"Back in the day I regularly met up and wefied with @LKYSch students, staff, audiences, faculty. But recently no. However, as we move carefully into Phase 3, masked and maintaining safe-distancing, … here I am with two of my wonderful colleagues after pizza lunch in Holland V. https://t.co/xXZUlwAbiM"
84,i will fight a safe distancing ambassador one day
85,"We are loosing a generation of youngsters, the 8-12 year olds will be lost to the sport unless pools open. No scientific evidence that swimming is not safe! Social distancing works in swimming. https://t.co/46KtjQKxWD"
86,"""Safe distancing අමතක වෙලා, dewali shopping"" https://t.co/DBy6aIyWj5"
87,"Ikea safe distancing practise at the restaurant should continue after the  phases.

It is more efficient to guide customers to the tables. Pre covid, customers had to go look out for empty tables.

#IKEA #Singapore"
88,"Omg just went to eat in Tekka Market, took one look and turned back round. Zero entry scanning, zero numbers control and absolute zero safe distancing. By my reckoning at least twice the number in there than should be. At this rate we can forget phase 3. #CNA  #Straitstimes"
89,"Indonesia is leading ASEAN games now!! 😭oh, no .. we are.. leading in Covid19 case &amp; fatality guys. Why?? Because People are following Jerinx!! Anti mask &amp; safe distancing This’s why #Jerinx is dangerous, he should be locked up until pandemic is resolved. @fadlizon @iwanpiliang7 https://t.co/vXPSHJmUgO"
