,Text
79,"German #ContactTracing #FOSS app works without Google services

https://t.co/TO2Xg5YrMw"
80,"@TheRealHoarse Morning here. Heading out to do some grocery shopping and dim sum lunch. Feel safe in Singapore. Masks, social distancing, contact tracing, good citizenship. Business are open and people are complying. No magical thinking."
81,@Prof_Lowe Very similar in Singapore. We have gone 16 days with 0 cases in the community. The use of technology in Contact tracing allows the medical professionals to isolate quickly and take action. But a heavy focus on the common good and cooperation is essential. + No conspiracy theories
82,@jimsciutto I live in Asia Jim. Heard this from my Right Wing friends for months. “It’s a Democrat hoax”. “It’s a media inspired hoax.”  In the mean time countries here were creating national plans and using technology for contact tracing. Focusing on the common good. The US does not get it
83,"Things you get when your government is committed to ending this freaking Pandemic:

1. TraceTogether Token for Contact Tracing (Aside from this, may App din pag di mo nadala)
2. 2pcs Free Reusable Mask (Take note, Pang limang beses na to na nagbigay sila ng libreng mask.)
#NaolSG https://t.co/PoBrntIETp"
84,"Every day we receive updates via WhatsApp from the #Singapore 🇸🇬 government on #covid19. Today marked 14 straight days of zero local infection. 
Adherence to masking and social distancing guidelines and a national infrastructure for contact tracing is what makes this possible. https://t.co/0Iyio6Bk52"
85,"Why Aren't #ContactTracing Apps Working in US?

https://t.co/iQD6d69I19"
86,"@FareedZakaria 
Another day - 0 cases in the community in Singapore - a densely populated island. MASKS / Contact Tracing using technology.  Quarantine. Good citizenship. American hyper-individualism is tearing the country apart. https://t.co/b2J5Uf4nIi"
87,"Inside #TraceTogether Token for #ContactTracing

https://t.co/Kv9AEDa5mX"
88,@Kongduino Ah that's equivalent to Singapore's SafeEntry ... Which will soon be obsoleted by TraceTogether. Contact tracing will get really messy for our travellers 🤔
89,@Kongduino What's the Hong Kong equivalent for #TraceTogether App / Token? We should both adopt Google+Apple Exposure Notification ... For international contact tracing 🤔
90,"Norwegian #ContactTracing app is banned by the Data Protection Authority ... ""the government has decided to base a new app on the Google Apple Exposure Notification (GAEN) System""

https://t.co/zEVP1hEC7V"
91,"Cette app sert à:
- chaque appareil Bluetooth communique entre eux afin de faciliter le contact tracing
- scan les QR code qui sont présents dans chaque entrée de bâtiment privé ou public
- être informé rapidement en cas de contact avec une personne porteur du virus."
92,"Ung daig pa ng SG ang paranoid na asawa or jowa para matrack lahat ng pinupuntahan mo! Chaaaaar! 

For contact tracing. https://t.co/xNuOOybpyI"
93,@TobozoTagada @Kongduino Our kids will love it... Since they grew up wearing Contact Tracing gadgets anyway 😉
94,"@DGHisham 
@KKMPutrajaya 

Latest contact tracing device in Singapore. Mandatory. https://t.co/fgtAny51aM"
95,"""Are there enough #TraceTogether contact tracing tokens for everyone? Did the Government put the cart before the horse when it announced mandatory use of the system ... even before everyone had the chance to collect their token?""

https://t.co/RRRNKFZ5ri"
96,"@IgnatiusPost 

America will never get their arms around the virus without efficient and effective contact tracing. https://t.co/xAnSC0Rjs6"
97,"@McFaul 

America will never get their arms around the virus without efficient and effective contact tracing. https://t.co/u6ralKBPFO"
98,"@FareedZakaria 
Digital Contact Tracing. America will never get their arms around the virus without it https://t.co/HzXucSJFN7"
99,Contact tracing in Singapore https://t.co/mvR3H9rkdW
100,"@SeanPenn Singapore is almost completely back to work. Schools have been operating for months. Restaurants, weddings, malls, shops....  A National plan, mandatory masks, contact tracing using technology, social distancing, quarantine, and good citizenship. You can have your economy back."
101,"@VanJones68 Singapore is almost completely back to work. Schools have been operating for months. Restaurants, weddings, malls, shops....  A National plan, mandatory masks, contact tracing using technology, social distancing, quarantine, and good citizenship. You can have your economy back."
102,"I don't understand why stores, restaurants, &amp; especially bars in New Zealand don't all have bouncers requiring a contact tracing check-in. The good luck can only hold out so long."
103,"@cnnbrk Americans, please wear masks, conduct social distancing, practise personal and public hygiene and you could bring down Corvid 19 . I am a Singaporean and we have brought infection from 1,500 to 2,000 daily down to now almost zero daily . Also contact tracing is important."
104,"First SafeEntry, TraceTogether sold as voluntary. Now, supposedly 🇸🇬’Smart Nation’ supplements mandatory check-in data w/widespread, compulsory proximity data, to improves its #ContactTracing process. Wait until vaccine ready, it’ll surely be forced too. https://t.co/2UbyLjndok https://t.co/pQRtptUzim"
105,"@johnistoasted It's smart to have them during this time. In Singapore, we use QR codes to check into any place for contact tracing. Many restaurants have converted to QR code menus too for cleanliness I guess. I prefer physical menus but I understand the present circumstances."
106,"@JohnSilverstar2 @loicdeslandes26 @Guy_Fawkes_News @ame_kid @Mediavenir Tu me demandes une preuve que le confinement est efficace, mais où est ta preuve que le confinement détruit un pays ? De plus, tu peux très bien appliquer confinement, port du masque, contrôle au frontière, contact tracing etc... l’un n’empêche pas l’autre, au contraire !"
107,"Get out and get moving today! Let’s stay vigilant and look out for each other with the safe management measures implemented 😄👌🏼

✔️ Practise safe distancing 
✔️ Use contact tracing via SafeEntry 
✔️ Undergo temperature screening 
✔️ Wear face mask when resting https://t.co/gqwuheMgwn"
108,What privacy u talking abt? Need to knw the exact status so that it is easier to do contact tracing. Dia bukan kena chlamydia. https://t.co/vkO5a0T3pq
109,"This is how to make sure “Covid19 doesn’t dominate lives”. Follow the science, masks, safe distancing, testing, contact tracing etc... NZ, Taiwan, SKorea, Hong Kong, etc have done it.. but Trump and his enablers can’t relate. https://t.co/3WxjDri65C"
110,"Whoa, the contact tracing on this one though... good luck. https://t.co/yFbg7JpQGs"
111,"This is so dangerous as this hampers contact tracing without a timeline. To whoever thinks that Trump is softening his stance and learnt his lesson, please do not be deceived. https://t.co/ZYypyCfXIJ"
112,"🤔 Article proclaims, “Strict lockdowns, aggressive contact tracing &amp; close monitoring of neighbourhoods... quarantine of at-risk individuals to mandatory mask-wearing” are effective. According to whom? Most experts, who are honest, realize lockdowns caused more harm than good! https://t.co/Qym2WNprTy"
113,"There is always a transmission chain in a pandemic. The no. of people infected is directly related to how quickly we can identify and isolate new cases.

Digital tools like #TraceTogether &amp; SafeEntry help speed up contact tracing substantially, and disrupt the transmission chain."
114,Testing tanpa contact tracing itu kurang berfaedah.
115,Why do we do this? Because we still see hidden clusters in the community. And just testing alone without proper contact tracing is like playing cat and mouse with the virus.
116,"How serious are we at contact tracing?

Our gahmen will distribute a token for everyone. Starting 14 sep we can tap the token or scan with the app to enter a place. https://t.co/i8FLpOwm9F"
117,"@Math98775469 @Florentgen @choqlautremonde @Conflits_FR Ils testaient les gens qui ont été en contact avec un malade grâce au contact tracing. Si tu allais à l’hôpital en espérant te faire tester car t’étais nerveux et parano sans aucun symptômes, tu t’aurais fait refouler gentiment."
118,I’m concerned with what I’m seeing at my local coffee shops. How people are seated in larger than allowable limits (not more than 5 people per table) and some even sharing tables with strangers (which would make contact tracing difficult).  People are taking COVID19 too lightly!
119,"""We describe the data transmitted to backend servers bythe #ContactTracing apps now deployed in Germany, Italy, Switzerland, Austria, Denmark, Spain, Poland, Latvia andIreland with a view to evaluating user privacy""...

https://t.co/YSV770384l"
120,@trawg Here they just tied contact tracing to the national ID card. Then added checking in via QR code. Works pretty well.
121,"#ContactTracing gadget with #nRF52820...

https://t.co/m3I1Niz2dF"
122,"Singapore got only 1 case in the community today! Very good, considering that we are almost back to normal. Contact tracing using QR code, social distancing, masks, effective government implementation &amp; public’s obedience and discipline are really the keys to combat this virus."
123,@vampirenurse29 @engr_titser @SayChiz Hi so Im curious on how do they do contact tracing dyan sa pinas?
124,"@evanoconnell @AyoCaesar @novaramedia Wait, the uk doesnt have a contact tracing app? In singapore we have had it for about 2 months now. This is mental."
125,"#ContactTracing and Social Distancing Wrist Band for $15... Based on #nRF52...

https://t.co/V799kbPkMd"
126,Luckily I managed to find some vague advisory regarding personal data collection for COVID-19 contact tracing. It doesn’t totally cover my ass but at least it is better than 2 lines of statement of email.
127,Now we are collecting a lot of information on behalf of some agency for their contact tracing. I don’t even dare to save those data on the office server cause everyone are able to see it.
128,"A bit frustrated with the inter agency mess. The nationwide contact tracing system is managed by one agency, but construction sector is managed by a different agency. Those 2 agency don’t seems to be talking to each other."
129,"@DrJinRussell And a reminder to New Zealanders to continue to be vigilant, use the contact tracing app."
130,"New Zealand please don’t be complacent.

It could return and contact tracing ensures we can manage this instead of returning to lockdown. https://t.co/A0qOLdsG5U"
131,"Check-in check-out disini pake kartu identitas masing2 ya. Saya ga tau kalo turis pake identitas apa, karena kayaknya belum ada turis lagi disini. Kalopun ada mungkin mereka bisa pake paspor kali ya. Oh ya alasan kenapa harus checkin ini buat nanti kepentingan contact tracing."
132,"@glrhn Orang yg mau masuk ke proyek harus pre screened and approve. Download contact tracing apps di smartphone. Kalau gak ada smartphone kantor suruh provide. Jarak kerja antar orang 1 m, Kalau ama tim berbeda 3 m."
133,Safe distancing = fail. Contact tracing = fail. Prioritisation of public health versus superfluous issues = fail. https://t.co/QsrcfuXRY8
134,"@nullenc0de That’s a good one.
Even contact tracing apps. Wow.

You reported all of them? 😂🤔"
135,"@jcpunongbayan @znsuzara @rupertnotholmes We could learn from our Asian neighbors on their detailed approach on this pandemic. 
One example is to utilize apps that improves contact tracing which speeds up determination of clusters and quickly isolate those from the public."
136,"In #Singapore #taxi cabs, mandatory check-ins to the government’s #SafeEntry contact tracing system. #covidlife #coronavirus #sglife #taxicab #covid_19 #covid19 https://t.co/fNOgAVlBKI"
137,It’s gonna be small and may have different colors. Singapore is about a week away from rolling out its portable contact-tracing device to help curb the spread of Covid-19 https://t.co/aBmF0M4gv7 via @technology
138,"@gilescope Oh I'm pretty sure my govt is switching to ""Contact Tracing Tokens"" to track us now..."
139,"Be a responsible realtor

Heading to the east of Singapore for a morning viewing appointment.
✅ Hand sanitizer
✅ Gloves
✅ Masks
✅ Contact Tracing forms
✅ Infrared Thermometer @ Jurong West, Singapore https://t.co/ZnNBLw3i1o"
140,...So we shouldn't buy #iPhones because they are bad for Contact Tracing? 🤔
141,"Singapore's Contact Tracing Token... ""TraceTogether token team stated that Singapore needs hardware tokens to better serve two groups: the underprivileged, and iPhone users""...

https://t.co/guBP3ZidFE"
142,"Singapore's Contact Tracing Token based on Bluetooth LE...

https://t.co/Fr1aX2wYkw"
143,"Contact less delivery + Cash less payment + Safe entry checkin* = New normal 

*Safe entry is Singapore’s one stop checkin / checkout API to be used at every single shop, restaurant, mall, business for easy contact tracing. 
#PostLockdownScenes #COVID19 #Singapore https://t.co/JruZBvaDzh"
144,"Hello, Phase 2 of openings in #Singapore. 1st #pedicure in #Covid times — I had to check in with the #Singapore government #SafeEntry #contacttracing app, fill out a Declaration of Health, get temp checked+hands sanitized before they let me in. All very thorough &amp; efficient. 💪🇸🇬 https://t.co/yMAVPw7A25"
145,Value of masking &amp; Contact tracing.. Exactly how Singapore contained the second wave of #COVID19 #majulahsingapura 🇸🇬🇸🇬 https://t.co/Dm9CavGeTU
146,"@yokelII @business The device does not have a inbuilt gps like those fitness trackers. It uses Bluetooth and will only work if you have the SG contact tracing app, the device only has Bluetooth and will only send a signal when in close proximity with another device so contact tracing is made easier"
147,Make sure you download the contact tracing apps from official sources and check the permissions you are granting! #security #privacy
148,"Fake COVID-19 Contact Tracing Apps Used to Download Malware that Monitors Devices, Steals Personal Data via @Anomali https://t.co/EBeF6IvAZE #tracetogether #sg"
149,"Don’t have to go to the extent of making contact tracing device to go about eradicating this virus. Look at New Zealand, placed in some very strategical measures and it worked. As easy as that. The harder bit for Singapore is to comply because we’re second class citizens"
150,@BSohSmallSpaces I’m all for contact tracing. That I can choose to have or not.
151,"Can't somebody plant a gadget with GPS + Bluetooth Beacon that will turn this #ContactTracing device into a Location Tracker? 🤔

https://t.co/fkwV74NU2h"
152,"Contact Tracing Gadget with #Bluetooth and #Sigfox...

https://t.co/QxZS6zra9F"
153,COVID-19 contact tracing ‘absolutely essential’; wearable TraceTogether tokens to be rolled out in June https://t.co/yX6a0WyWnQ
154,"@JohnSilverstar2 @JJWINAZZ @_Haplo @Damkyan_Omega Par contre à Singapour c’est obligation de scanner le QR code à l’entrée de chaque bâtiment où tu rentres pour le contact tracing. Port du masque obligatoire. Interdiction de s’arrêter quand tu te balades, interdiction de sortir en famille (groupe de 4 ou +)."
155,Contact tracing device?!
156,Singapore Government: Singapore says 'No' to wearable devices for Covid-19 contact tracing - Sign the Petition! https://t.co/52mABogfNb via @Change
157,"@weichiang @HossanLeong Ya that's why. So regardless I don't think you'll support the idea of tracking at all. But I believe in contact tracing and I think the faster we can trace people that infected indivs have been exposed to, the faster we can stop it from further spreading to even more people..."
158,"@HossanLeong I would. If it helps slow down the spread of the virus through faster contact tracing, I would do it."
159,"SafeEntry measures.

Check in &amp; Check out for contact tracing.

1. Scan via barcode
2. Select  CI / CO option
3. Enter details
4. Generate SafeEntry pass

#safeentry #covid19 #controlmeasures #sgunited @ ISO… https://t.co/sStbIMU3Ij"
160,"Eto yung app na ginagamit namin dito sa Singapore para mas madali at mapabilis yung contact tracing kapag may nagpositive sa isang lugar. Tatawagan ka mismo ng MOH kung nasa same area kayo nung nagpositive sa COVID19. 

Singapore gov ang nag develop neto at unang gumamit ng app. https://t.co/nd3TWDtIZn"
161,Just scan SafeEntry for #Coronavirus contact tracing purposes as part of the safe re-opening of Singapore's wealthy economy despite Fortitude Budget is implemented in use on lots of business re-opening at a later… https://t.co/dIIcF55OGG
162,"@0shamb0 @thepine64 Suppose a fellow #RustLang Fan is near me.... Both our watch faces will light up with a reddish tint, to indicate that we have a common interest: Rust. This will run on Bluetooth LE, similar to the Apple/Google Contact Tracing Protocol"
163,"Contact Tracing App for Norway...

https://t.co/3fYS1KU1m6"
164,"‘Vietnam owes its #COVIDー19 success to 3 battle fronts it focused energies on–strategic testing, vigorous contact tracing, &amp; comprehensive communications campaigns... Vietnam has proven that underdogs are more than capable of winning.’ https://t.co/rFJXt8vXkJ @IndependentSG"
165,@ABSCBNNews @JamesAmante 1/2 then scan again bago lumabas . It should be implemented by each company. Yung hinde makakascan sa contact tracing qr code ay bawal pumasok. You have to do that else walang mangyayare dyan sa paglaban nyo ng covid
166,@ABSCBNNews @JamesAmante Dapat bago pumasok ng mga establishment ay may contact tracing mechanism in place. Eto dapat inisip ng government bago nila inease ang lockdown dyan. Daming mga magagaling na IT dyan sa pinas. Pwede silang magawa ng QR code na eesan ng bawat isa as checkin para madali matrace
167,"Jadilah seperti Taiwan 🇹🇼 , Vietnam 🇻🇳 &amp; Selandia Baru 🇳🇿 kalau mau memulihkan wisata.

Tunjukkan bahwa penambahan kasus bisa 0.

Tunjukkan bahwa karantina &amp; contact tracing berjalan baik.

Raih kepercayaan dunia bahwa Indonesia 🇮🇩 adalah zona hijau. 

Bali? Tunjukkan terisolasi."
168,Wonderfully concise and important piece by @hallam_stevens about contact tracing apps and the importance of citizen science in building solidarity. https://t.co/OOGZ6rr5Yb
