,Text
141,Good ride as the lion city opens for phase 2. Forgot to switch on the bike computer hence a smaller loop on the circuit. Time to celebrate . #biker #sgunited #Phase2 #SingaporeTogether @Brahamvakya @kaushikburman @AboutIndia enjoy your weekend . https://t.co/WeX7LLgjVq
142,"at long last...

#phase2 @ Holland Village, Singapore https://t.co/U1nIJMTVCX"
143,"It’s phase 2, how are you celebrating your children’s party?
.
✅the party goes on
.
✅ a small party for the family
.
😭 not celebrating this year. 
.
Let us know in the comments.....
.
.
#phase2 #phase2reopening… https://t.co/7xsGIYzbhu"
144,The Singapore FOMO championship has begun! #phase2 #phase2siaolang https://t.co/b2aWp0u82m
145,happy #Phase2 friday! first things first... https://t.co/IdFj8KLEvx
146,"First looks, part one

#phase2 #day1 #humblessed @ IKEA Tampines https://t.co/yXc2wvT6vJ"
147,Why people being salty tho? Why does your opinion have to matter if people wanna go out or not.  #phase2
148,早速こんなに行列出来てます！て写真あげてる方も散見するけど、私はまだ混み合う場所へ行く気にはなれないな。待ち侘びたPhase2、すぐに買いたい物があるのは分かるけど、これだけ長く我慢できたのだからもう少し落ち着くまで待ってみてもいいと個人的には思ってる。そもそも行きたい場所もないのよね
149,What is the first place you’re going to go today with #Phase2 in #Singapore?
150,"Let play Badminton safely 🏸
#phase2 #COVID19 https://t.co/aWrfFsG3kH"
151,"Let's create supportive &amp; compassion community 😁! #SGUnited #KindnessMatters 
#Phase2"
152,after 3 mos was able to wear shoes/foot socks and pants! off to office! cbd here i come #phase2 https://t.co/rMIpa6yL2e
153,#Phase2 has just opened up #Singapore again but I might end up staying in the play #TheLastofUsPartII this weekend! https://t.co/SbXwJAj0C2
154,"ユニクロまだだった😭
#シンガポール
#Phase2
#ユニクロ https://t.co/BzXq0DGq6N"
155,シンガポールは今日からPhase2に移行。お店も今日から開いて、外食も出来るようになり街に普通が戻ってきた。素直に嬉しい。2ヶ月半ぶりの外食とゴンチャ。パッショングリーンティーは砂糖無しでも十分美味しい😋 https://t.co/lnNBbvvfdc
156,#COVID19 #phase2 #staysafe #sembawangtraditionalclaypotrice see you at 4 Jalan Tampang Singapore 758948 Reservation 67577144 https://t.co/DAeHOWTJmO
157,"Those who turn 21 y/o on 19/06/20.
You’re not the only ones receiving the freedom key. 😂

#phase2 #freedom #singapore #COVID19"
158,"It's the #firstday of #phase2 in lifting up #singapore #circuitbreaker measures.. Finally got to hv my #solobreakfast at the #coffeeshop after #months .. Hehe! ✌🏼😁😁
.

#lifeofrosse 
#alonetime 
#timetomyself… https://t.co/B34xISkLOa"
159,Apartment is back! #phase2 @ Apartment https://t.co/kYZMKEYpmv
160,phase2が始まったのでさっそくダイソーにお買い物に行ってます。買うものリスト作ったのに忘れてきたわ〜何やってんだか、ワタシ😫
161,Celebrated the start of #Phase2 in #Singapore today with breakfast out for the first time in months. Thanks to the friendly staff at #AtlasCoffeehouse for keeping a sense of community and for excellent coffee all the way through #CircuitBreaker. Here’s to better days ahead! https://t.co/DzH38lwIpo
162,"Good Morning Phase 2
#singapore #phase2 #goodmorning @ Singapore Marriott Tang Plaza Hotel https://t.co/sXir6QLKSI"
