,Text
88,Yall all just came down to Miami huh... Your state lockdown and you know FL is a free for all so yall came to party in SoFlo..... 🤷🏾‍♂️
89,@DylanRobichaud I agree! It feels like the first lockdown started yesterday - but it’s been so long since we’ve seen some of our closest friends! Here’s hoping that 2021 is brighter. 🥰
90,"Everyone on social is celebrating the last day of 2020, “bye worst year ever”...you know Q1 of 2021 is going to be worse than anything we saw in ‘20, right?  Take that Mar/Apr lockdown &amp; put it in Jan/Feb...unless you are reading this in AZ or FL-it’s a recipe for a shit sandwich"
91,"Going into new year

Just remember 
If you ate today, thank a farmer 

It wasn’t PM CARES who fed you during lockdown 

It was farmers, who were still working their ass off in fields to make sure you don’t skip a meal"
92,@gordperks I also like how Scrawler thinks that since Phillips didn’t respect the lockdown that this means we should lift restrictions because we have to learn to live with the virus. I don’t understand how this squares with his concern that people with the virus are flying into the country
93,Why aren't nations deploying army/national guard whoever to set up overnight vaccine sites so around the clock more can move forward I do feel at this rate we will be in lock down for years
94,People in Toronto angry after lockdown measures leave shopping mall inaccessible https://t.co/62OtmrDc4h
95,"We had various degrees of lockdown and stay-at-home orders, people complained they couldn’t get their hair cut and many of us lost loved ones. People took to the street to attempt systemic change. https://t.co/W0yTob7u7Y"
96,"""Would you be in lockdown with this person?"" is the new ""should you move in?"""
97,"What did he know? When did he know it? Watch. 

Premier Doug Ford admits “mistake”.  He knew Rod Phillips was away in the Caribbean in mid-December.  His original “disappointed” statement implied surprise that the finance minister would leave the country amid a lockdown.  #onpoli https://t.co/ASgQcnfQGx"
98,A terrific offer. Almost as good as your beer. :) One of the highlights of lockdown when I was in York was getting my delivery of Barnard Castle Eye Test. Keep up the great work. https://t.co/l7WWZXgPfA https://t.co/eOle8sus7P
99,"@Patrickdery The government was negligent on this. The lockdown should have been imposed before Black Friday for a month+, knowing that gatherings will take place over the holidays, despite recommendations. But the economy was more important. Nowhere to go but up from here till February."
100,Can’t work this whole week due to Walmart lock down
101,"@COOLLANEHERO I'm really despising politicians in general. To say theyre out of touch is an understatement. 

Like when during the lockdown, Pelosi thought it was a good idea to show off her $24K fridge with a freezer door filled with exotic creams.

Cant stand these people. Fuck them"
102,Fighting Stigma: Ireland in Level 5: Third nationwide lockdown to last until at least the end of January: The Health Service Executive (HSE) warned the testing and contract tracing system is approaching maximum capacity. Continued exponential growth in ... https://t.co/bmP3dmbeJs
103,I want us to go into a fully loaded lockdown so bad lmao. I'm sorry but I miss doing mommy-son dates with my kid &amp; going out to eat &amp; taking him to Disney on Ice.
104,"@ZubyMusic there were videos surfacing of deas bodies in apartments when the lockdown first started in wuhan, alot of coverups by the govt even right now"
105,"Honorable mention 

Fauci
Fact check 
Fredo
Remote learning 
HCP tic tok 
Guidelines 
Recommendations 
“Emergency” Orders 
Lockdown 
Shutter 
Birx
“With” Covid 
Cuomo 
Virtual hugs 
Experts
“For thee but not for me”"
106,Fighting Stigma : Eamonn Holmes wheels out his secret weapon in fight against the flab: ... Langsford (60) after lockdown rules stopped him returning to his native Northern Ireland to see the three kids he has with first wife Gabrielle Holmes. https://t.co/8aZIq8CEgW
107,"@towhey Commissar @JohnTory must go! We have to take back #Toronto from tyrants, council abdicated representing us. This the new mafia! #lockdown #TOpoli"
108,"My final thoughts for 2021. No more of the following:

lock down 
pandemic 
vaccination 
quarantine 
censorship 
politicians 
bills 
lies 
deceit 
leverage 
elections 
vote 
news 
media 
celebrities
insincerity"
109,"They talm bout how a new covid variant jus touched the states ? New president comin in trump said he ain’t leaving, vaccine talks of a lockdown 2021 shit bout to get real 😤"
110,@silverfox1589 @SpeakerPelosi Don't worry she has plenty of ice cream to last out through any lockdown or covid pandemic!
111,"Mehn 2020 is ending and everywhere feels normal even people status just dry, no body sending prayer post is everyone's status on lockdown or isolation too. Abi 2021 no deserve prayer point ni."
112,"However, 2020 has been an great year for me personally with getting engaged in Feb - two or three weeks before lockdown - getting married end of June, and of course finishing school. 

I’m interested to see what 2021 will be all about."
113,@BrandonHill38 @opinionsondanba He’s very impactful.  The problem is a lot of people that hype him mistakenly think he’s a lock down defender.   He’s more like a Lonzo type defender.  Elite in team defense and help.  He gets blown by too easy one on one.  And he’s not a good scorer outside of spot up.
114,I’m so over this lockdown crap 😫
115,"""Ontario premier Doug Ford is under pressure after admitting that he has known for weeks that his finance minister – who faked social media posts to conceal his location – had ignored a coronavirus lockdown to go on holiday in the Caribbean.""

https://t.co/qGQK9tKwvo https://t.co/5vzfolqvAs"
116,"Lockdown seedling production in the plant plant | Discovery | Gardening 
Australia

https://t.co/OfMFpTSolo"
117,"Just joined the Patreon @Konnan5150 @TheRealDisco , wish I would have done this much earlier. So much damn great listening i'm catching up on as we enter ANOTHER lockdown."
118,"@Austen I don't think it's so much this.

I think it's that we simply wouldn't have insisted on such draconian lockdown measures, because they'd simply have made life too hard.

IOW, Doordash etc made these virus mitigation efforts even thinkable in the first place."
119,@Thesciencevort1 I broke a tooth in February and have not seen my dentist yet (I was in Guatemala when it happened and came home to lock down). It’s part 2020 part super phobic about dental work.  Yeah I know I need to get it looked after.
120,@EpochTimes I thought they were all in lock down mode
121,"We're... we're having another statewide lockdown in NC after Jan 1, aren't we? https://t.co/mrX7pegX88"
122,Stay at home because it is lockdown. Ford said but he knows about Rob Phillips
123,"Fighting Stigma: Irish prime minister plunges country into new national lockdown 'for at least a month' as cases ...: On Wednesday, Ireland's National Public Health Emergency Team (Nphet) reported 1,718 new cases and 13 further deaths. It means… https://t.co/pjBjSeorXn"
124,What about a @barstoolsports fund to hire lawyers to fight draconian lockdown measures forced against small business? That 10 million+ spent could maybe result in recouping hundreds of millions /billions of losses ???               @stoolpresidente @SupDogsECU https://t.co/aUd0okxJib
125,The stories of stranded cruise workers during the early lockdown days were alarming! A disaster of epic proportions waiting to happen! Was hoping to hear of class actions or other advocacy for these forgotten workers! There must be #Accountability! https://t.co/qGhGjKM0R8
126,"the country is in a tier 4 lockdown, but Central FL has the audacity to “have the right to NOT wear a mask”... out here in public places, around dozens of people, without a mask. 🥴🤦🏻‍♀️ https://t.co/OoiSY0QGOS"
127,@BossHook @RodRodney613 @ZaidJilani Australia is on the verge of another lockdown. It didn’t work. And we can’t legally do a lockdown like they did there
128,@tmorrisva @ZaidJilani Australia is on the verge of another lockdown right now
129,This is not what I meant when I said we should be do something about the lockdown suicides. https://t.co/z5374i5J3h
130,"@CNN Open up the darn country and let us get back to normal. Sweden is doing ok, why are we still in lockdown?"
131,@BEtheBestJJ Happy even though we're back on lockdown here in Ontario. Never bored as long as I have kpop and Kdramas! Looking forward to the SM concert tomorrow since it's free 😂 How are you??
132,Fighting Stigma: Lockdown remains politicians' fallback response since we started fighting Covid: ... they can no longer ignore the warnings delivered by public health officials. ... The UK has now approved two vaccines while Ireland waits for decisions… https://t.co/ozO9yMSJgt
133,"Fighting Stigma: Ireland extends strict lockdown to Jan. 31 as COVID-19 cases rise: Ireland has mandated face masks on public transport, in shops and shopping centers, and in some other indoor settings, according to the HSE health ... https://t.co/tK9pFv4H8m"
134,"There’s a new COVID strain??!?!?! 
Lord just take me now because my mental can’t deal with another lockdown."
135,"@IJasonAlexander @fairfightaction You singing during lockdown will always be one of the happy memories from this year, thank you. And yes, let’s turn the Senate blue!"
136,"This year has been a complete shit year for millions of reasons. Outside of immediate family members passing away, the world being in thrown into chaos and the world lockdown people losing jobs and people dying of Covid-19. I didn’t get a day of exercise/spending time with people"
137,"@gurkle2 @stewak2 @AndyfromTucson @RidleyDM @allisongr0ss @adambravomusic @RenaFacade @topazgang_ @zenalbatross Not to mention, case importation...

Maybe the US could lock down to 0 cases, but new ones would be imported quickly. If your goal is to lockdown until 0, you’re locked down as the new importations happen, i.e., forever."
138,@mollyhc Nice! I’ve been able to juggle pretty well since I was a kid but never mastered any tricks. I told myself at the beginning of lockdown I’d learn this one but never made the time. Here’s to 2021!
139,We thought it was a lockdown. — but the people are rising.
140,Let’s get California on the phone and ask them how they’re doing with that strict lockdown 😂😂 https://t.co/StUmb9hc8s
141,"What are your plans for lockdown #NewYearsEve? If you’re watching something, share what you’ll watch. 🥳🥳🥳🥳 #nye https://t.co/iefx9Mjogb"
142,"@chefjoseandres @WCKitchen I'm so happy to be a monthly donor to your cause. Financial difficulties, and lockdown, have prevented me from doing more, but.I hope my small contribution helps. Bless you, you angel walking among us."
143,Yeah just send another check with that lockdown https://t.co/X9FDuxZiQs
