,Text
86,"👆December 24, 2021 China announced all facial masks must contain small ingredients of Xinjiang 新彊 cotton and  China Rare Earth change its registration into district of Xinjiang.

👆2021年12月24日中国宣布所有口罩必须含有新疆新强棉小成分，中国稀土变更登记为新疆地区。"
87,"@Roguestampede I think if they allow parents to gown up in full PPE and n95 masks with a rule of no kissing the babies/kids, then parents should be able to go and take care of their kids. It's risky coz parents may not understand infection prevention protocols but the hospital can educate!"
88,"Morgan Stanley Tells Staff to Wear Masks, Limit Big Meetings https://t.co/K5JOAnXbwF"
89,"I really missed the kind of care-free freedom we used to experience before the pandemic came along. We could go anywhere, anytime, no masks on and never have to think twice. Something I think most of us have really taken for granted."
90,@7NewsSydney Why don’t we keep the masks? It’s a very basic and effective measure that should be maintained.
91,"@NatashaChomas It’s on the Singapore Transit. Masks compulsory, talking discouraged."
92,"@eddydaud..👍👍.

Scientists use ostrich cells to make glowing Covid detection masks https://t.co/G0GrlrSNFq"
93,@GourmetMale @nick_literally Off to Milan &amp; then Chamonix in 10 days for 2 weeks. Masks inside but no lockdowns or quarantine for the vaccinated. If I was to fly to Qld from Sg to see my extended family I’d have to do 2 weeks HQ (which I’ve done before &amp; refuse to do again) happy to travel on Singapore VTL
94,"CALLING FOR RAIN is a short performance from Cambodia using vine masks, dance to depict the theme of saving the forest and its environment. https://t.co/XN4qONncnc"
95,@3bsBruce @pwafork That’s our lives in Singapore - masks on inside &amp; outside at all times
96,@pdt2211 @spwells I vividly recall governments around the world saying masks arent effective for a few weeks in early 2020. Which really seemed like terrible messaging at the time.
97,"this is what you called 
""THE HOLY MASKS"" 😅 https://t.co/iy0LZgCdsm"
98,@LauraJMG Also a big thing they are tapping into for me is that there has been a ban on masks off singing because pandemic. Which was okay for church but less okay for karaoke. Not that I've been in years though
99,"It’s all my niece and nephew have ever known, bless their little boots. Masks and distanced interactions."
100,"Can’t believe that in about 14 days I will be attending my first concert featuring a foreign ensemble. I might just cry at the exquisite pain of seeing that life isn’t all about lockdowns and masks and slowly going insane 🙃

https://t.co/39GJdDIbp0"
101,@biagio_boesch I recognise some of these faces even behind their masks! :-)
102,@Guest909 Disposable surgical masks are great for that. It’s how I’ve been lifting weights for a while
103,"My keyboard arrived. All devices including my iPad are now linked to one keyboard and mouse. Perfect. Now buy keyboard give free box of masks. Nice ! @ Jurong West, Singapore https://t.co/7NSLNzCwf4"
104,"@sharanvkaur @ClaudeGlass @rerarom My shallow understanding is that both of these are true: 1) it's hard (and annoying, even painful) to wear a mask ""correctly"" (in the way they teach medical professionals) and 2) masks help managing the spread of the virus because they limit exhaust rather than intake."
105,Can we stop wearing masks? So annoying I can’t breathe
106,@rohayarich58 masks on all the time. https://t.co/4flt3MpWX6
107,"@DANNYonPC @Flakfire Ah yes, gas masks. 😍"
108,How will popular culture address the big virus-shaped elephant in the room?  Do we think we’ll see the pandemic being a part of ‘normal’ stories? Romantic novels where couples wear masks? Action movies where heroes moan about vaccination? Or easier to ignore? #WritingCommunity
109,Masks are still a big thing here in Singapore. Does anyone else look at someone with a mask on and when they take the mask off they look completely different to how you thought they'd look? Happened atleast 3 times today. As you can tell an exciting day for me.
110,"#KakamPINK 

Ordered 100pcs pink masks 💕💕 https://t.co/CH1NnswlJw"
111,@IanM1871 Masks outside is the norm here. Will be for a long time yet
112,"Covid-19 survival kit: From masks to test kits, all your must-haves https://t.co/572DWgFIQh"
113,"askST: What if I test positive for Covid-19 but feel well, and when can we stop wearing masks? https://t.co/betvYELv8K"
114,Chokeslams and face masks are ok if you’re the home team 👍🏻
115,"“Get hitched, make a career out of robbing banks
Because the world is just a teller and we are wearing black masks”
“… doesn't it feel like our time is running out?”

They must have been inspired by the story in In Time HAHA! 😎

#nowplaying Fall Out Boy – The Phoenix https://t.co/yn98cZMx2v"
116,@_15au @g3p_graph ｍａｓｋｓ
117,"Matching masks day. Now whenever we are out, we make sure we are in medical masks to reduce risk. @ Far East Plaza https://t.co/U6IffAjX4P"
118,"Day 6 Singapore quarantine revelation: Not going out every day means I’m saving money on masks.

#covidrevelations #covid19 #maskssavelives #singapore #quarantine #shn"
119,"Masks must be worn for all events, including Angaprathachanam and Kumbiduthandam. 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️ https://t.co/Tb2Lb9WcXB"
120,You have no idea how hard it is to manage visitors. Asking them to put their masks back on and asking them to leave when visiting time is over every time. Every f***ing time! https://t.co/Oq9UugRG0H
121,"Despite the masks, you can tell we are smiling from ear to ear! 

It’s true what they say: friends who survive the horrific intensity of grad school together, stay together ❤️❤️❤️

Yay to the wonder woman that is @hanisahsani 💫 https://t.co/nB7mDEFIAO"
122,‼️reminder‼️to wear your masks:) keep safe everyone!!! https://t.co/p3PHXgWGT3
123,"•Pro Tip #1: All masks come in standard adult sizes, so no measurements are required"
124,"Residents are advised to bring their own bags to carry the boxes of masks
◦No bags will be provided at the collection points
◦Surgical masks come in 2 boxes of 25 pieces or 1 box of 50 pieces
◦N95 masks come in 1 box of 25 pieces"
125,"SP Group utilities (residential) bill account numbers will be needed for collection of these masks
◦Physical SP residential bill for barcode scanning;
◦Online SP residential bill on SP Utilities app for scanning; or
◦SP residential account number for manual validation"
126,"Each Singapore household may collect medical grade masks as follows
◦50 pieces surgical masks
◦25 pieces N95 respirator masks
◦These masks have 95% particle filtration efficiency or better"
127,"Each households in Singapore are given 50 medical-grade surgical masks and 25 N95 respirator masks, which they can collect at 131 supermarket outlets islandwide from Aug 26.

This is the fifth distribution exercise of Temasek Foundation's Stay Prepared initiative. https://t.co/7hdfUGTo2u"
128,Masks collected! @ Aperia Mall https://t.co/MzDD5WIC5c
129,Wearing a mask is hard.. especially wearing 2 masks...
130,"@RonFilipkowski @HeatherThomasAF Can they exercise their rights to waive any medical and hospital services in the event if they contract the Corona virus? Also, can their family members sue these anti vaxxers and anti maskers for denying them masks?"
131,I’m proud of you guys for continuing to wear masks on set. 🤘🏻🤘🏻 #indietoku https://t.co/xvMIP5tVdl
132,@govsingapore giving each household masks. Appreciated! https://t.co/cgOgi46ZRi
133,Pls remember to bring your own bag when collecting these free masks. @ Tampines Mall https://t.co/INXZRtF0yJ
134,"Masks collected! Thank you @temasekfoundation 💕 @ Kaki Bukit Estate, Singapore https://t.co/RogIjd7UiN"
