,Text
64,"Menkeu Sri Mulyani optimistis ekonomi triwulan I-2022 tumbuh lebih tinggi daripada triwulan I-2021 meski ada COVID-19 varian Omicron, karena karakternya yang berbeda dari varian Delta, sudah masifnya vaksinasi, dan masih berlangsungnya ekonomi

Jokowi Gas Pol Pemulihan Ekonomi https://t.co/73p7dwdHqR"
65,"#Wordle solutions for all of 2022: https://t.co/SYyGbxntIF 
Purists please don't click on the link 🙃"
66,"@noncething Was funny for a while - I expected your account to ""turn normal"" at some point. Unfortunately, I don't see that happening. 👋👋"
67,"@morcivert1212 @GilesChesher @MRiobello @ScienceVids_ @SurvivalLHacks Your need to worship is irrelevant to this discussion. Worship whatever you please for your mental happiness - A rock, a guy in the sky or Santa Claus. We’re talking about a physical phenomenon that can be experimented, analysed &amp; inferred - not some 1000 year old work of fiction"
68,"Within specific sectors, small business owners in the travel and lodging field were most concerned, with 70% acknowledging agitation over omicron’s effects. https://t.co/JomyUqlQSi #ConversionFunnel #ContentFramework"
69,When this omicron wave is over I’m going to do the exact same thing. https://t.co/UssowCZT2C
70,@Jizzle9011 @RooterDouglas @Ken36143959 @Shaunak2105 @WaitingForPerot They also had barely any of the virus present before Omicron
71,"Dan semenjak omicron naik di perumahan, jdi susah buat keluar keluar"
72,"akhir akhir ini denger kasus omicron naik, dan rupanya udh merambat kesodara deket dan tetangga, semoga sehat sehat semua ya"
73,@kosmo_online Omicron
74,"Says more about their lack of concern for others:
-#Facemasks provide partial protection to wearer-- but more to the people nearby.
-Need #N95 for effective personal protection vs #Omicron.
-But cloth &amp; surgical can help prevent transmission. So wear what you've got! https://t.co/99TX2tpwSF"
75,"Finally finished my day of marathon CNY gatherings with friends. We've drifted in the last 2 years thanks to Covid-19 and this year, despite the omicron raging wave, we decided we had enough and to brave it, meet up, live with the virus instead of the usual fear."
76,"Office landlords urged to prepare for the great return despite #Omicron surge 

#BTO Back To Office

#Philippines #RealEstate #Property #OfficeSpace
#SoutheastAsia 
https://t.co/lyrLPoNVhh 
@cath_talavera
Via https://t.co/dW7q9hnMXT https://t.co/upj67ilBXM"
77,Why are you telling me people are tired of the pandemic so they should travel? If people can afford to go &amp; travel then they should? Abeh kene covid? Siapa yang nak gi swab kan? Kau? Cases makin naik? Omicron datang dari mana? Geylang?!!!
